iter	Passed	Remaining
0	2	2790
1	5	2626
2	7	2550
3	11	2744
4	14	2876
5	17	2904
6	20	2928
7	24	2988
8	27	3003
9	30	3039
10	34	3065
11	37	3070
12	40	3094
13	43	3093
14	47	3105
15	50	3106
16	53	3111
17	57	3112
18	60	3116
19	63	3104
20	66	3101
21	69	3104
22	73	3110
23	76	3111
24	79	3111
25	83	3115
26	86	3112
27	89	3109
28	92	3110
29	96	3110
30	99	3107
31	103	3117
32	106	3116
33	109	3118
34	113	3120
35	116	3123
36	120	3123
37	123	3120
38	126	3119
39	129	3114
40	133	3113
41	136	3112
42	139	3107
43	142	3106
44	146	3104
45	149	3106
46	153	3107
47	156	3101
48	159	3095
49	162	3091
50	166	3091
51	169	3085
52	172	3080
53	176	3084
54	179	3085
55	182	3078
56	185	3075
57	188	3068
58	191	3062
59	194	3054
60	198	3053
61	201	3049
62	204	3046
63	208	3046
64	211	3044
65	215	3045
66	218	3041
67	221	3036
68	224	3035
69	228	3037
70	232	3039
71	235	3039
72	239	3037
73	242	3035
74	245	3031
75	248	3026
76	252	3022
77	255	3018
78	258	3015
79	261	3011
80	265	3008
81	268	3004
82	272	3009
83	275	3009
84	279	3006
85	282	3005
86	285	3000
87	289	2998
88	292	2995
89	295	2990
90	299	2987
91	302	2984
92	305	2980
93	309	2978
94	312	2975
95	316	2977
96	319	2976
97	323	2977
98	326	2974
99	329	2969
100	333	2967
101	336	2963
102	339	2959
103	343	2955
104	346	2951
105	349	2946
106	352	2943
107	355	2939
108	359	2936
109	362	2932
110	365	2930
111	369	2928
112	372	2925
113	375	2921
114	379	2919
115	382	2916
116	385	2912
117	389	2909
118	392	2905
119	395	2903
120	399	2901
121	402	2897
122	405	2894
123	409	2890
124	412	2886
125	415	2882
126	418	2879
127	422	2875
128	425	2872
129	428	2867
130	431	2864
131	435	2860
132	438	2857
133	441	2853
134	444	2849
135	448	2846
136	451	2843
137	454	2839
138	457	2836
139	460	2831
140	464	2828
141	467	2825
142	470	2822
143	474	2818
144	477	2814
145	480	2810
146	483	2806
147	487	2803
148	490	2799
149	493	2795
150	496	2791
151	499	2789
152	503	2786
153	506	2781
154	509	2778
155	512	2774
156	516	2771
157	519	2768
158	522	2764
159	525	2761
160	529	2757
161	532	2753
162	535	2750
163	538	2747
164	542	2745
165	545	2742
166	549	2740
167	552	2737
168	555	2733
169	559	2730
170	562	2728
171	565	2724
172	569	2720
173	572	2716
174	575	2715
175	579	2714
176	583	2712
177	587	2712
178	590	2709
179	594	2706
180	597	2704
181	600	2700
182	603	2696
183	607	2693
184	610	2690
185	614	2690
186	618	2688
187	621	2684
188	624	2681
189	628	2677
190	632	2677
191	636	2677
192	640	2676
193	643	2674
194	646	2670
195	650	2669
196	653	2665
197	656	2661
198	660	2656
199	663	2652
200	666	2649
201	669	2646
202	673	2642
203	676	2639
204	679	2635
205	683	2632
206	686	2629
207	689	2624
208	692	2621
209	695	2617
210	698	2613
211	701	2609
212	705	2605
213	708	2602
214	711	2597
215	714	2594
216	718	2591
217	721	2588
218	724	2584
219	728	2581
220	731	2578
221	734	2573
222	737	2570
223	740	2566
224	743	2562
225	747	2559
226	750	2556
227	753	2552
228	756	2547
229	759	2544
230	762	2540
231	765	2535
232	769	2531
233	772	2529
234	775	2525
235	779	2523
236	783	2521
237	786	2519
238	790	2516
239	793	2512
240	796	2508
241	799	2505
242	803	2502
243	806	2500
244	810	2496
245	813	2492
246	816	2488
247	819	2484
248	822	2481
249	826	2478
250	829	2474
251	832	2471
252	836	2468
253	839	2465
254	842	2461
255	845	2457
256	849	2455
257	852	2451
258	856	2449
259	859	2445
260	862	2441
261	865	2437
262	868	2434
263	871	2430
264	874	2426
265	877	2422
266	881	2420
267	885	2417
268	888	2413
269	891	2410
270	894	2405
271	897	2401
272	900	2399
273	904	2395
274	907	2391
275	910	2387
276	913	2384
277	917	2381
278	921	2380
279	924	2377
280	927	2373
281	931	2371
282	935	2370
283	939	2367
284	942	2364
285	945	2361
286	949	2359
287	953	2357
288	957	2355
289	960	2352
290	965	2351
291	968	2348
292	972	2346
293	976	2345
294	981	2344
295	984	2341
296	987	2337
297	990	2334
298	994	2330
299	997	2326
300	1000	2323
301	1003	2319
302	1006	2314
303	1009	2311
304	1012	2307
305	1015	2303
306	1018	2300
307	1021	2296
308	1025	2292
309	1028	2288
310	1031	2285
311	1034	2281
312	1037	2277
313	1040	2273
314	1043	2269
315	1046	2266
316	1049	2262
317	1052	2258
318	1056	2254
319	1059	2250
320	1062	2246
321	1065	2242
322	1068	2239
323	1071	2235
324	1074	2232
325	1077	2228
326	1081	2226
327	1086	2225
328	1091	2225
329	1095	2224
330	1099	2222
331	1103	2219
332	1107	2217
333	1111	2215
334	1115	2213
335	1119	2212
336	1122	2209
337	1126	2205
338	1129	2201
339	1132	2198
340	1135	2194
341	1138	2190
342	1141	2186
343	1144	2182
344	1148	2181
345	1152	2178
346	1155	2175
347	1159	2171
348	1165	2173
349	1170	2174
350	1174	2171
351	1177	2167
352	1181	2165
353	1186	2164
354	1189	2160
355	1194	2159
356	1198	2159
357	1202	2155
358	1205	2151
359	1208	2147
360	1211	2143
361	1215	2142
362	1218	2138
363	1222	2135
364	1225	2132
365	1228	2128
366	1232	2126
367	1236	2122
368	1239	2119
369	1242	2115
370	1246	2113
371	1250	2110
372	1254	2108
373	1257	2104
374	1261	2101
375	1264	2099
376	1268	2096
377	1272	2093
378	1275	2089
379	1279	2087
380	1283	2085
381	1286	2081
382	1290	2078
383	1293	2074
384	1297	2073
385	1301	2070
386	1304	2066
387	1307	2062
388	1311	2059
389	1314	2056
390	1318	2053
391	1321	2049
392	1324	2046
393	1329	2044
394	1332	2040
395	1335	2037
396	1339	2034
397	1343	2032
398	1346	2028
399	1350	2025
400	1353	2021
401	1356	2018
402	1361	2016
403	1365	2014
404	1368	2010
405	1371	2006
406	1374	2003
407	1379	2001
408	1382	1997
409	1385	1993
410	1389	1991
411	1395	1991
412	1399	1989
413	1404	1988
414	1412	1991
415	1419	1993
416	1429	1998
417	1436	1999
418	1441	1999
419	1446	1997
420	1449	1994
421	1453	1991
422	1457	1987
423	1461	1985
424	1464	1981
425	1467	1977
426	1472	1976
427	1477	1975
428	1481	1972
429	1485	1968
430	1488	1965
431	1493	1963
432	1496	1959
433	1500	1957
434	1504	1953
435	1508	1951
436	1511	1947
437	1515	1944
438	1518	1940
439	1522	1937
440	1528	1937
441	1532	1934
442	1535	1930
443	1538	1927
444	1542	1923
445	1546	1920
446	1549	1917
447	1553	1914
448	1557	1911
449	1561	1908
450	1565	1905
451	1568	1902
452	1573	1900
453	1577	1897
454	1581	1894
455	1585	1890
456	1589	1888
457	1592	1884
458	1595	1880
459	1599	1877
460	1603	1874
461	1607	1871
462	1610	1868
463	1614	1864
464	1618	1861
465	1624	1861
466	1628	1858
467	1632	1856
468	1636	1853
469	1640	1850
470	1644	1847
471	1648	1843
472	1651	1840
473	1655	1836
474	1658	1832
475	1661	1828
476	1664	1824
477	1666	1820
478	1670	1816
479	1673	1812
480	1676	1808
481	1679	1804
482	1682	1801
483	1685	1797
484	1689	1794
485	1692	1790
486	1696	1787
487	1699	1783
488	1702	1779
489	1706	1775
490	1709	1772
491	1716	1772
492	1724	1773
493	1734	1776
494	1747	1782
495	1758	1787
496	1766	1787
497	1779	1794
498	1820	1827
499	1830	1830
500	1843	1836
501	1851	1837
502	1859	1837
503	1878	1848
504	1899	1861
505	1914	1869
506	1921	1868
507	1929	1868
508	1935	1866
509	1940	1864
510	1969	1884
511	1975	1883
512	1983	1883
513	1990	1882
514	1996	1880
515	2002	1878
516	2010	1878
517	2018	1878
518	2024	1876
519	2029	1873
520	2038	1873
521	2043	1871
522	2048	1868
523	2054	1866
524	2058	1862
525	2064	1860
526	2069	1857
527	2079	1859
528	2087	1859
529	2095	1858
530	2100	1855
531	2105	1851
532	2109	1848
533	2113	1844
534	2118	1841
535	2122	1837
536	2128	1834
537	2133	1832
538	2138	1828
539	2142	1824
540	2146	1821
541	2151	1818
542	2156	1814
543	2161	1812
544	2168	1810
545	2176	1809
546	2182	1807
547	2187	1804
548	2191	1800
549	2196	1796
550	2201	1793
551	2205	1789
552	2209	1786
553	2213	1781
554	2217	1777
555	2220	1773
556	2224	1768
557	2227	1764
558	2231	1760
559	2235	1756
560	2238	1751
561	2241	1747
562	2245	1742
563	2249	1738
564	2252	1734
565	2255	1729
566	2259	1725
567	2263	1721
568	2267	1717
569	2271	1713
570	2275	1709
571	2279	1705
572	2283	1701
573	2286	1697
574	2289	1692
575	2294	1688
576	2297	1684
577	2301	1680
578	2305	1676
579	2311	1673
580	2316	1670
581	2321	1667
582	2326	1664
583	2330	1659
584	2333	1655
585	2337	1651
586	2340	1647
587	2344	1642
588	2347	1638
589	2350	1633
590	2354	1629
591	2358	1625
592	2362	1621
593	2366	1617
594	2369	1612
595	2373	1608
596	2376	1604
597	2380	1600
598	2384	1596
599	2387	1591
600	2391	1588
601	2396	1584
602	2401	1581
603	2413	1582
